Modenumber, Lambda (um), beta  (per um), alpha/2  (per um), k0  (per um); Thickness=1 um
0,0.4456,6.662283940840E+01,2.121902028111E+00,1.410155897906E+01
0,0.4462,6.641647778766E+01,2.095999678056E+00,1.408055535976E+01
0,0.4469,6.621123711769E+01,2.070462527235E+00,1.405955174047E+01
0,0.4476,6.600710499028E+01,2.045284311629E+00,1.403854812118E+01
0,0.4482,6.580406917948E+01,2.020458897938E+00,1.401754450188E+01
0,0.4489,6.560211763829E+01,1.995980280351E+00,1.399654088259E+01
0,0.4496,6.540123849544E+01,1.971842577395E+00,1.397553726330E+01
0,0.4503,6.520142005221E+01,1.948040028886E+00,1.395453364400E+01
0,0.4509,6.500265077935E+01,1.924566992954E+00,1.393353002471E+01
0,0.4516,6.480491931403E+01,1.901417943163E+00,1.391252640542E+01
0,0.4523,6.460821445689E+01,1.878587465704E+00,1.389152278612E+01
0,0.4530,6.441252516911E+01,1.856070256677E+00,1.387051916683E+01
0,0.4537,6.421784056958E+01,1.833861119436E+00,1.384951554754E+01
0,0.4544,6.402414993211E+01,1.811954962020E+00,1.382851192824E+01
0,0.4551,6.383144268267E+01,1.790346794648E+00,1.380750830895E+01
0,0.4557,6.363970839677E+01,1.769031727285E+00,1.378650468966E+01
0,0.4564,6.344893679677E+01,1.748004967278E+00,1.376550107036E+01
0,0.4571,6.325911774938E+01,1.727261817054E+00,1.374449745107E+01
0,0.4578,6.307024126312E+01,1.706797671879E+00,1.372349383178E+01
0,0.4585,6.288229748583E+01,1.686608017686E+00,1.370249021248E+01
0,0.4592,6.269527670230E+01,1.666688428951E+00,1.368148659319E+01
0,0.4600,6.250916933188E+01,1.647034566636E+00,1.366048297390E+01
0,0.4607,6.232396592618E+01,1.627642176182E+00,1.363947935460E+01
0,0.4614,6.213965716679E+01,1.608507085558E+00,1.361847573531E+01
0,0.4621,6.195623386306E+01,1.589625203363E+00,1.359747211602E+01
