Modenumber, Lambda (um), beta  (per um), alpha/2  (per um), k0  (per um); Thickness=1 um
2,0.7630,2.903668786450E+01,5.813766309473E-02,8.2348
2,0.7640,2.898714557186E+01,5.768589140896E-02,8.2241
2,0.7650,2.893686559359E+01,5.723530082564E-02,8.2133
2,0.7660,2.888711455255E+01,5.678588671903E-02,8.2026
2,0.7670,2.883823062705E+01,5.633764448755E-02,8.1919
2,0.7680,2.878912911681E+01,5.589056955354E-02,8.1812
2,0.7690,2.874003352026E+01,5.544465736318E-02,8.1706
2,0.7700,2.869117896299E+01,5.499990338630E-02,8.1600
2,0.7710,2.864320743096E+01,5.464586499241E-02,8.1494
2,0.7720,2.859535276358E+01,5.429274379642E-02,8.1388
2,0.7730,2.854767648723E+01,5.394053623872E-02,8.1283
2,0.7740,2.849965997696E+01,5.358923877807E-02,8.1178
2,0.7750,2.845170008858E+01,5.323884789151E-02,8.1073
2,0.7760,2.840432081073E+01,5.288936007425E-02,8.0969
2,0.7770,2.835705923873E+01,5.254077183952E-02,8.0865
2,0.7780,2.830991803158E+01,5.219307971851E-02,8.0761
2,0.7790,2.826277279893E+01,5.184628026020E-02,8.0657
2,0.7800,2.821586168569E+01,5.150037003127E-02,8.0554
2,0.7810,2.816992893375E+01,5.098446871980E-02,8.0451
2,0.7820,2.812284900950E+01,5.046988684902E-02,8.0348
2,0.7830,2.807507741695E+01,4.995661936360E-02,8.0245
2,0.7840,2.802937222166E+01,4.944466123402E-02,8.0143
2,0.7850,2.798303643400E+01,4.893400745635E-02,8.0041
2,0.7860,2.793681752111E+01,4.842465305217E-02,7.9939
2,0.7870,2.788990546983E+01,4.791659306833E-02,7.9837
2,0.7880,2.784459544947E+01,4.740982257684E-02,7.9736
2,0.7890,2.779790894222E+01,4.690433667467E-02,7.9635
2,0.7900,2.775340293133E+01,4.640013048365E-02,7.9534
2,0.7910,2.770653725704E+01,4.600570523281E-02,7.9433
2,0.7920,2.766018583919E+01,4.561227600532E-02,7.9333
2,0.7930,2.761477293659E+01,4.521983903314E-02,7.9233
2,0.7940,2.757019035898E+01,4.482839056719E-02,7.9133
2,0.7950,2.752497345350E+01,4.443792687725E-02,7.9034
2,0.7960,2.747906321348E+01,4.404844425186E-02,7.8934
2,0.7970,2.743394757946E+01,4.365993899817E-02,7.8835
2,0.7980,2.738905837222E+01,4.327240744187E-02,7.8737
2,0.7990,2.734513908117E+01,4.288584592700E-02,7.8638
2,0.8000,2.729966354596E+01,4.250025081593E-02,7.8540
2,0.8010,2.725582478628E+01,4.212103097087E-02,7.8442
2,0.8020,2.721128522554E+01,4.174275681122E-02,7.8344
2,0.8030,2.716839701830E+01,4.136542480389E-02,7.8246
2,0.8040,2.712486912480E+01,4.098903143340E-02,7.8149
2,0.8050,2.708132757205E+01,4.061357320171E-02,7.8052
2,0.8060,2.703800708243E+01,4.023904662817E-02,7.7955
2,0.8070,2.699565079646E+01,3.986544824936E-02,7.7859
2,0.8080,2.695173387914E+01,3.949277461901E-02,7.7762
2,0.8090,2.690872474756E+01,3.912102230790E-02,7.7666
2,0.8100,2.686501218515E+01,3.875018790372E-02,7.7570
2,0.8110,2.682214488919E+01,3.840637693148E-02,7.7475
2,0.8120,2.677943762948E+01,3.806341278429E-02,7.7379
2,0.8130,2.673683127038E+01,3.772129233734E-02,7.7284
2,0.8140,2.669420794038E+01,3.738001248116E-02,7.7189
2,0.8150,2.665180229717E+01,3.703957012157E-02,7.7094
2,0.8160,2.661035722429E+01,3.669996217952E-02,7.7000
2,0.8170,2.656815387358E+01,3.636118559107E-02,7.6906
2,0.8180,2.652524462448E+01,3.602323730723E-02,7.6812
2,0.8190,2.648243404081E+01,3.568611429393E-02,7.6718
2,0.8200,2.644012442144E+01,3.534981353188E-02,7.6624
2,0.8210,2.639945501239E+01,3.504655151729E-02,7.6531
2,0.8220,2.635762310506E+01,3.474402736649E-02,7.6438
2,0.8230,2.631600597189E+01,3.444223838981E-02,7.6345
2,0.8240,2.627448581809E+01,3.414118191064E-02,7.6252
2,0.8250,2.623226371807E+01,3.384085526536E-02,7.6160
2,0.8260,2.619179686163E+01,3.354125580324E-02,7.6068
2,0.8270,2.614976404370E+01,3.324238088638E-02,7.5976
2,0.8280,2.610822917322E+01,3.294422788960E-02,7.5884
2,0.8290,2.606752937460E+01,3.264679420042E-02,7.5792
